"SpeciesUID","NewickName","CAIS","ISD","Std._Error.x","recent_isd","Std._Error.y","ancient_isd","Std._Error","Nc_wright","Nc_novembre"
5,"Anolis_carolinensis",0.0390970440312413,0.003737,0.001054,0.005228,0.002961,0.003352,0.00127,59.5590417807607,62.8813796351011
9,"Callithrix_jacchus",0.0529254017421067,0.006798,0.0009751,0.009729,0.002696,0.006879,0.001179,57.5879058792226,62.4403622135748
12,"Carlito_syrichta",0.055949881170806,0.005286,0.001006,0.008934,0.002765,0.00498,0.001221,57.2612261789259,62.3882900231657
14,"Cavia_porcellus",0.0604470935316093,0.007483,0.001006,0.009507,0.00274,0.008128,0.001226,56.1116272722395,62.2863531192074
15,"Cebus_capucinus",0.0538517811030359,0.006868,0.0009431,0.01204,0.002628,0.005988,0.001136,57.2978768856787,62.4255012203035
16,"Cercocebus_atys",0.0532627108835885,0.006196,0.0009671,0.01109,0.002677,0.005464,0.001168,57.3687090261574,62.4660945135172
18,"Chlorocebus_sabaeus",0.0545888942932681,0.009011,0.001026,0.01651,0.002846,0.008104,0.00124,57.0420375885692,62.3721944214617
20,"Colobus_angolensis",0.0546790426309787,0.004879,0.0009494,0.01056,0.00264,0.004038,0.001145,57.4640629909902,62.5187023293293
22,"Cricetulus_griseus",0.062407026990649,0.00657,0.0009646,0.009746,0.002662,0.006541,0.001168,57.0980933172487,62.5980706156496
23,"Danio_rerio",0.0590154273542528,0.01116,0.0009654,0.01107,0.002683,0.01131,0.001164,57.1770906460067,62.0861512673529
25,"Dipodomys_ordii",0.058313233959098,0.007205,0.001028,0.008993,0.00279,0.007858,0.001255,56.3944919996117,62.4484352304897
28,"Equus_caballus",0.0564620683688348,0.008416,0.001053,0.01664,0.00291,0.008604,0.001281,57.0229789130125,62.4441395923379
29,"Felis_catus",0.0511315122095025,0.009869,0.0009791,0.01412,0.002696,0.009667,0.001186,56.9508548367293,62.4067945828443
31,"Fukomys_damarensis",0.0613255605518447,0.005934,0.001084,0.01227,0.002864,0.005904,0.001336,56.4787673078843,62.2993308083358
35,"Gorilla_gorilla",0.054327162414284,0.006787,0.0009451,0.0122,0.002631,0.006085,0.001139,57.3265079622285,62.5033827985766
36,"Heterocephalus_glaber",0.0588676960673522,0.007006,0.0009946,0.009497,0.00272,0.007463,0.00121,56.4938415895033,62.3181972445291
38,"Homo_sapiens",0.0556645520333888,0.006866,0.000952,0.01222,0.002641,0.00569,0.001149,56.856565965788,62.324171152844
40,"Jaculus_jaculus",0.0588573589275203,0.007942,0.001016,0.009739,0.002776,0.008727,0.001237,56.3362024113789,62.4275100661228
41,"Latimeria_chalumnae",0.0418184647213947,-0.0007103,0.001077,-6.387e-05,0.003017,-0.0008986,0.001305,58.7532180167302,63.0588201349459
42,"Lepisosteus_oculatus",0.0678179281871807,0.009882,0.001038,0.01455,0.002891,0.009121,0.001254,55.0474568946024,61.8294241778241
43,"Loxodonta_africana",0.0555282265680281,0.00928,0.001045,0.0165,0.002982,0.01005,0.00126,57.0778405339304,62.3844858373912
45,"Macaca_mulatta",0.0537241325758147,0.007782,0.0009739,0.01166,0.002686,0.007819,0.001179,57.4386126211864,62.4686096742949
46,"Macaca_nemestrina",0.0534102450095974,0.005797,0.0009668,0.01014,0.002677,0.005285,0.001168,57.3649620808607,62.4486784933804
47,"Mandrillus_leucophaeus",0.0547779752472885,0.005088,0.0009817,0.008613,0.002705,0.004769,0.001188,57.4960006574974,62.5002180818334
49,"Mesocricetus_auratus",0.0590653367527197,0.007416,0.001011,0.009195,0.002753,0.007936,0.001231,56.5355324409687,62.5161199102848
50,"Microcebus_murinus",0.0524099585285015,0.008986,0.0009762,0.01375,0.002699,0.008643,0.00118,56.7275588027807,62.2630752358927
51,"Microtus_ochrogaster",0.0595275052063303,0.007612,0.001,0.009471,0.002734,0.008192,0.001216,56.4485998813653,62.4958572992021
53,"Mus_caroli",0.0581600937732986,0.007485,0.0009901,0.01103,0.0027,0.007418,0.001206,56.9467732384149,62.7188797100991
54,"Mus_musculus",0.0580718713220804,0.005485,0.0009642,0.008329,0.002653,0.005215,0.001168,56.983731475779,62.5468380169604
55,"Mus_pahari",0.0577111278548544,0.008578,0.0009909,0.01192,0.002704,0.008597,0.001207,57.0282375522189,62.5678767114576
57,"Mustela_putorius",0.0551483045528691,0.01013,0.001034,0.01716,0.002877,0.009865,0.00125,56.3136500068688,62.3319234652634
58,"Myotis_lucifugus",0.0586893956090937,0.01225,0.001085,0.01776,0.00303,0.01196,0.001306,55.8752298905187,62.292975993803
59,"Nannospalax_galili",0.0599125846480473,0.006739,0.001005,0.009926,0.002742,0.007049,0.001224,56.921170833414,62.4895208616731
60,"Nomascus_leucogenys",0.052805747285661,0.00415,0.000979,0.006455,0.002701,0.004017,0.001185,57.6754530070901,62.5104793786188
61,"Octodon_degus",0.0612561193251432,0.00803,0.001009,0.008848,0.002769,0.009172,0.001227,55.8334513551952,62.3395086015127
62,"Ornithorhynchus_anatinus",0.055038653417919,0.01024,0.001114,0.01575,0.003039,0.01049,0.00136,55.4948964534861,62.6245784545566
63,"Oryctolagus_cuniculus",0.0597650915162064,0.00908,0.00104,0.01449,0.002884,0.00912,0.00126,55.2409031943852,62.4133203507267
65,"Otolemur_garnettii",0.0565422572319424,0.008098,0.001054,0.01409,0.002949,0.008311,0.00128,57.1580199852043,62.4629143971592
67,"Pan_paniscus",0.0546591090093786,0.005346,0.0009757,0.009644,0.002692,0.005243,0.001181,57.3828495580067,62.4806403331031
68,"Pan_troglodytes",0.0533154632036886,0.006406,0.0009647,0.009794,0.002669,0.006273,0.001166,57.3480504459582,62.4178199471904
69,"Panthera_pardus",0.0523382231868236,0.009629,0.0009932,0.01327,0.002721,0.009778,0.001206,56.7891218936141,62.3629019648437
72,"Pelodiscus_sinensis",0.0457781092637601,0.003283,0.001063,0.005333,0.003001,0.003463,0.001283,58.7927233395091,63.0509709810391
73,"Peromyscus_maniculatus",0.0611132618346559,0.008521,0.001,0.01122,0.002729,0.009131,0.001217,56.0458077269739,62.42084677004
75,"Propithecus_coquereli",0.054101412431399,0.009053,0.0009894,0.01117,0.002724,0.009508,0.0012,56.457571163122,62.368629884067
76,"Rattus_norvegicus",0.0579221755899441,0.007783,0.001025,0.008774,0.002752,0.008854,0.001256,56.935767389162,62.6394578708084
77,"Rhinopithecus_bieti",0.0549761727394645,0.005623,0.0009726,0.008495,0.00269,0.00557,0.001175,57.1890443609332,62.5283059768056
80,"Saimiri_boliviensis",0.0545341783420585,0.00539,0.0009753,0.009978,0.002697,0.00469,0.001179,57.3533673230897,62.4964535059936
82,"Sus_scrofa",0.0539434215990589,0.009483,0.0009711,0.01363,0.002675,0.009458,0.001176,56.7663752580586,62.3708731825
83,"Taeniopygia_guttata",0.0661870118606101,0.002457,0.001235,0.001172,0.003424,0.003423,0.00151,56.3393957821487,62.4198176949415
84,"Takifugu_rubripes",0.0730252765901678,0.01433,0.001006,0.01457,0.002868,0.01353,0.001205,53.9102898394535,62.469226354564
86,"Xenopus_tropicalis",0.0401530527748871,-0.000954,0.001063,0.007861,0.003101,-0.003174,0.00127,58.8572364020728,63.0517711753077
87,"Xiphophorus_maculatus",0.0700836611840775,0.01282,0.001044,0.01542,0.002924,0.0117,0.00126,54.6060509600136,61.7702742108262
407,"Balaenoptera_acutorostrata",0.0524335394072136,0.00862,0.0009734,0.01514,0.00269,0.00786,0.001176,57.2049468585575,62.398383572179
408,"Bison_bison",0.0528030203186679,0.007062,0.0009749,0.01379,0.002685,0.005842,0.00118,57.4636446473289,62.535930257581
409,"Bos_indicus",0.056052340532223,0.008754,0.0009848,0.01462,0.002709,0.007603,0.001192,56.5810525277077,62.4236720120891
410,"Bos_mutus",0.0575753044224185,0.008114,0.0009908,0.01359,0.002711,0.007129,0.001203,56.4400568349505,62.3125819674848
411,"Bubalus_bubalis",0.0538650271388858,0.009958,0.0009523,0.01596,0.002644,0.009405,0.001149,56.6725815648578,62.3372848507939
412,"Camelus_bactrianus",0.0560177543248764,0.008471,0.0009878,0.01544,0.002708,0.007377,0.001197,56.6903945981836,62.351168314905
413,"Camelus_dromedarius",0.0558124563442022,0.00744,0.0009963,0.01375,0.002723,0.006597,0.001208,56.6787631930415,62.3749993876093
414,"Camelus_ferus",0.0554449848160428,0.0078,0.0009794,0.01424,0.002697,0.007079,0.001185,57.0838745832347,62.4020034656766
415,"Castor_canadensis",0.0582976785605819,0.006675,0.0009737,0.009291,0.002685,0.00654,0.001178,57.135042950368,62.2856323863408
416,"Ceratotherium_simum",0.0526232081902877,0.01012,0.0009722,0.0141,0.002676,0.01022,0.001177,57.2817857738,62.4270470835372
417,"Chrysochloris_asiatica",0.0504196315921176,0.005915,0.0009909,0.008939,0.00271,0.005865,0.001202,57.974202256538,62.5195752073087
418,"Condylura_cristata",0.0534625831987922,0.01086,0.0009828,0.01614,0.0027,0.01041,0.001191,56.9641992518948,62.3864354208561
420,"Elephantulus_edwardii",0.0547767121407146,0.007682,0.0009936,0.01188,0.002719,0.007424,0.001206,56.9599227644897,62.3427682852775
421,"Eptesicus_fuscus",0.0576052723252654,0.01046,0.0009947,0.01486,0.002725,0.01038,0.001207,55.7041578945147,62.356531502647
423,"Equus_przewalskii",0.0524080105976676,0.006661,0.0009714,0.01332,0.002681,0.006167,0.001174,57.6387476583718,62.4932406075144
424,"Erinaceus_europaeus",0.0604360809548395,0.01072,0.000984,0.01499,0.0027,0.01049,0.001193,56.0567808858096,62.3031943431061
425,"Hipposideros_armiger",0.0548864592456672,0.0106,0.0009598,0.01417,0.002659,0.01067,0.001159,56.522471545834,62.2896726484538
427,"Lipotes_vexillifer",0.0531177231619109,0.008957,0.0009901,0.01227,0.002726,0.008985,0.001199,56.571777246712,62.285105330395
429,"Marmota_marmota",0.0591082611052708,0.007744,0.0009801,0.0124,0.002694,0.007606,0.001187,57.0511914950191,62.3476601455378
430,"Meriones_unguiculatus",0.059908782205084,0.009069,0.0009702,0.01253,0.002675,0.008718,0.001174,56.0379335392279,62.3684516841353
431,"Miniopterus_natalensis",0.0546547695439589,0.007503,0.0009806,0.0125,0.002707,0.006923,0.001186,57.1531819168474,62.4684715660848
433,"Myotis_brandtii",0.0534719737377301,0.008388,0.0009673,0.01119,0.002672,0.008361,0.00117,57.3730824544637,62.5676273166641
434,"Myotis_davidii",0.0541133398199601,0.009233,0.0009793,0.01248,0.002695,0.00952,0.001187,57.1274729440372,62.5262280812253
437,"Odobenus_rosmarus",0.0525526866828542,0.009901,0.0009778,0.01491,0.002696,0.009529,0.001183,56.9241033694915,62.4080146655745
438,"Odocoileus_virginianus",0.0545082713712588,0.008986,0.0009607,0.01488,0.002659,0.008497,0.001161,56.7505151583716,62.3638520409412
439,"Orcinus_orca",0.0533599431316574,0.009503,0.0009831,0.01474,0.002707,0.009029,0.00119,56.5536109818908,62.3619032238073
442,"Pantholops_hodgsonii",0.0512464559236723,0.0104,0.0009863,0.01249,0.002723,0.01128,0.00119,56.4723393236083,62.2990912970289
445,"Physeter_catodon",0.048692688828867,0.008395,0.0009676,0.01366,0.002683,0.007764,0.001169,57.5963745628726,62.5016942366633
446,"Pongo_abelii",0.0523907404377031,0.006263,0.0009568,0.01203,0.002655,0.005363,0.001154,57.7186619536528,62.4997333420993
447,"Pteropus_alecto",0.0495831560795831,0.007185,0.0009674,0.01241,0.002679,0.006117,0.001169,57.8384743511749,62.3201194341183
450,"Rousettus_aegyptiacus",0.0499945168343482,0.00894,0.0009577,0.01343,0.002654,0.008728,0.001156,57.3957655562564,62.2425677595606
452,"Sorex_araneus",0.0618308336979462,0.01037,0.001,0.01534,0.002723,0.009725,0.001216,54.4114653420635,62.2167768032679
453,"Trichechus_manatus",0.0479197713211004,0.003597,0.0009689,0.008238,0.002684,0.002636,0.001169,58.4427884669721,62.6511150220054
455,"Ursus_maritimus",0.053062729945596,0.006317,0.0009874,0.01422,0.002707,0.004953,0.001196,57.4279949865409,62.5724590026132
461,"Anser_cygnoides",0.0442386317785866,0.0016,0.0009806,0.002236,0.002703,0.001502,0.001186,58.6986109721834,62.8998351037313
463,"Apaloderma_vittatum",0.0451262752340582,-0.001548,0.001147,-0.00276,0.003059,-0.001112,0.001411,58.7327191833554,62.9041438893261
467,"Boleophthalmus_pectinirostris",0.0632029694774002,0.01424,0.0009979,0.01803,0.002749,0.01321,0.001209,56.1239770793746,62.151732740304
468,"Buceros_rhinoceros",0.0484444258902592,0.0004287,0.001138,-0.0006298,0.003023,0.0008787,0.001399,58.4331497715085,62.9052140299751
469,"Calidris_pugnax",0.0456381644098349,0.007851,0.0009807,0.01107,0.002701,0.007753,0.001188,58.4855920618565,62.7519826947341
470,"Callorhinchus_milii",0.040066817974563,0.000346,0.0009957,0.0004979,0.002736,0.0009922,0.001208,59.0672292847193,62.9686775130788
471,"Calypte_anna",0.0658462827396457,0.004048,0.001041,0.004392,0.002842,0.004505,0.001269,57.0288357404558,62.6384271521055
472,"Cariama_cristata",0.0460676085123283,-0.0001178,0.001125,0.0006366,0.00302,0.0001432,0.00138,58.6675214524848,62.9275388548974
474,"Charadrius_vociferus",0.0440390236099537,0.003059,0.001038,0.004936,0.002831,0.002646,0.001264,58.9038745393221,62.9167743715347
475,"Chelonia_mydas",0.0494202049837907,0.004818,0.001012,0.005869,0.002769,0.005921,0.001227,58.3856075186815,62.9571556502228
477,"Chrysemys_picta",0.0463838747600066,0.008975,0.0009589,0.01168,0.002658,0.009413,0.001157,58.5930508436027,62.9738577704744
478,"Clupea_harengus",0.0791973054741987,0.01977,0.0009883,0.02211,0.002725,0.01896,0.001197,52.433336409942,62.0967426446698
480,"Columba_livia",0.0456598288783149,0.004572,0.0009821,0.003333,0.002706,0.005344,0.001188,58.5775286432782,62.8120308236236
481,"Corvus_brachyrhynchos",0.0580954771699102,0.005631,0.0009848,0.007643,0.002706,0.005774,0.001193,57.4500431424321,62.6527298803622
482,"Coturnix_japonica",0.0499425822187399,0.007336,0.0009673,0.006476,0.002674,0.00817,0.00117,58.1711146703288,62.7186992283245
483,"Crocodylus_porosus",0.0469745834095719,0.00279,0.0009823,0.003751,0.002708,0.0029,0.00119,58.5362215515271,63.02265627511
484,"Cuculus_canorus",0.0472453468566994,0.001858,0.001037,0.001667,0.002829,0.00196,0.001263,58.5983975117869,62.854891327943
485,"Cyprinodon_variegatus",0.0636480362504549,0.01236,0.0009699,0.01774,0.00268,0.01048,0.001173,56.1449160640645,61.981159710811
486,"Cyprinus_carpio",0.0551691940879689,0.006101,0.0009597,0.00633,0.002657,0.00542,0.001161,57.492749833366,62.1806503411723
488,"Esox_lucius",0.0726587817785054,0.01393,0.0009568,0.01907,0.002657,0.01214,0.001154,53.8490740709916,62.1245987310477
489,"Eurypyga_helias",0.0455074423139893,-1.291e-06,0.00115,-0.0004636,0.003057,0.0002603,0.001415,58.7198511211772,62.9132634783212
491,"Falco_peregrinus",0.047660340781791,0.003022,0.001014,0.003907,0.002786,0.003421,0.001234,58.554621408535,62.8761384760081
492,"Fulmarus_glacialis",0.0454976783313181,-0.0006135,0.00113,-0.0003985,0.003034,-0.000247,0.001388,58.6895490562943,62.93748845041
493,"Fundulus_heteroclitus",0.0708484192896859,0.01291,0.0009737,0.01861,0.00269,0.01024,0.001177,53.3858933751762,61.84476757485
496,"Gekko_japonicus",0.0406491611549087,0.008363,0.0009955,0.007489,0.002746,0.009924,0.001204,59.107723147087,63.0800905662989
497,"Geospiza_fortis",0.0684282245403759,0.00461,0.001038,0.004386,0.002833,0.004797,0.001264,56.1592717564066,62.4426904972315
499,"Haliaeetus_leucocephalus",0.0438813006517471,0.0053,0.0009968,0.005884,0.002757,0.005724,0.001209,58.887266268977,62.8664669414517
502,"Ictalurus_punctatus",0.0560533892373757,0.01005,0.0009596,0.006822,0.002659,0.01111,0.001159,57.0607297585159,62.3807483496828
503,"Labrus_bergylta",0.0764410612570897,0.01626,0.0009741,0.01956,0.002685,0.01523,0.00118,54.2478846728084,62.0698812845741
506,"Lepidothrix_coronata",0.0531659858083101,0.008193,0.0009707,0.01081,0.002682,0.007931,0.001175,57.735365838252,62.6204305064562
